tree_number,models.80,likelihood.80,aicc.80,lambda.80,alpha.80,mu.80,beta.80,models.50,likelihood.50,aicc.50,lambda.50,alpha.50,mu.50,beta.50,models.20,likelihood.20,aicc.20,lambda.20,alpha.20,mu.20,beta.20,models.s20,likelihood.s20,aicc.s20,lambda.s20,alpha.s20,mu.s20,beta.s20,lambda.sim,mu_0.sim,beta.sim,time_decline,time80,final_rich80,time50,time20,time_s20,ntip80,ntip50,ntip20,ntip_s20,mu_f.sim.80,mu_f.sim.50,mu_f.sim.20,mu_f.sim.s20,cga.80,cga.50,cga.20,cga.s20,gamma.80,gamma.50,gamma.20,gamma.s20,decline.length.80,decline.length.50,decline.length.20
21,bcstdcst,-72.21116183,148.5223237,3.83771516,NA,3.720058178,NA,bvardcst,-72.50441617,151.1331847,5.414529142,-0.034212393,5.961867926,NA,bvardcst,-119.3772745,244.8342833,5.289004924,-0.071175072,6.101385481,NA,bvardcst,-47.30610224,100.7010934,4.433146211,-0.198907464,4.536605405,NA,4.675597544,4.978149447,0.658077773,4.255668212,11.15566821,67.21746683,8.055668212,6.155668212,2.9,123,197,305,274,4.974922565,4.953331742,4.891497016,4.239821601,11.12137087,8.021370867,6.121370867,2.865702655,0.470673693,0.503740656,0.446360277,0.219858606,6.899999996,3.799999998,1.899999998
22,bcstdcst,-6.144599737,17.28919947,4.07087193,NA,4.179010311,NA,bvardvar,-25.60958243,60.14939742,3.338364023,-0.243268168,5.269938704,8.637598257,bvardcst,-23.06336124,52.32672248,6.553378597,-0.199661349,8.382965,NA,bcstdcst,23.6557648,-43.23790996,4.841704164,NA,3.160211105,NA,5.353136397,7.208599646,0.510059875,2.660747064,4.960747064,51.8708738,4.160747064,3.460747064,2,15,48,124,166,6.63452929,6.345267181,5.974814876,4.609526346,4.914619077,4.114619076,3.414619076,1.953872012,0.638459213,0.382179128,0.383146193,0.178490769,2.300000002,1.500000002,0.800000002
23,bvardcst,-3.71244336,13.97034127,7.632477839,-0.0978204,9.648739407,NA,bvardvar,2.788365036,2.657188058,6.506395059,-0.176660664,8.622073669,18.92547713,bvardcst,67.98712662,-129.9130287,8.523981826,-0.149405653,9.739681859,NA,bvardcst,210.5120136,-414.9603667,8.560497743,-0.215651845,7.611904492,NA,8.285646817,9.476207003,0.802682506,2.584284787,5.184284787,280.4124339,4.184284787,3.484284787,1.9,48,176,396,381,9.328503825,9.14660456,8.898096538,7.414184354,4.841723435,3.841723435,3.141723435,1.557438648,0.569027905,0.468828164,0.396099553,0.216782985,2.599999999,1.599999999,0.899999999
24,bcstdcst,-18.7561859,42.1123718,3.701789105,NA,3.776960947,NA,bvardcst,-62.54912746,131.333549,4.151316411,-0.052433529,4.925503442,NA,bvardcst,-78.45060972,163.046674,4.683305098,-0.064174406,5.31707124,NA,bvardcst,-46.62834423,99.36883799,4.17251688,-0.198794313,4.192936419,NA,4.284703711,4.627003325,0.547324161,4.757652729,11.35765273,98.54137244,8.457652729,6.657652729,3.4,23,106,169,218,4.617765126,4.581826374,4.506005749,3.907355068,10.52008707,7.763227252,5.963227252,2.705574524,0.654325278,0.496935263,0.43179881,0.205557087,6.599999998,3.699999997,1.899999997
25,bcstdcst,-22.39901529,51.19803057,0.224111258,NA,0.197718215,NA,bvardvar,-62.36609811,134.1607677,1.071670344,-0.052187028,1.512682853,9.555128293,bvardvar,-134.4785788,277.545393,1.154559756,-0.053779586,1.457643507,258.7922144,bcstdcst,-131.6675055,267.4562232,1.176356608,NA,0.794350808,NA,1.135533044,2.151540623,0.061916799,12.11792853,19.91792853,82.95637577,17.11792853,14.91792853,9.5,8,33,73,102,1.524704552,1.40604289,1.297252044,0.956745693,16.33162112,13.53162113,12.69298539,7.275056865,0.269135455,0.387974006,0.291994942,0.174089777,7.799999992,4.999999992,2.799999992
26,bvardcst,-82.26997408,170.5856625,7.216706805,-0.070785384,8.619534628,NA,bvardcst,-120.2902802,246.5987285,7.134113751,-0.095423452,8.340137647,NA,bvardcst,130.9309027,-255.8515094,7.515484502,-0.110627788,8.378738366,NA,bvardcst,840.9864861,-1675.963426,7.368414918,-0.273116772,7.362685895,NA,7.226143326,8.134775297,0.682279639,3.212705073,6.312705073,429.4781817,5.112705073,4.212705073,2.4,529,1325,2335,2518,8.025171364,7.886234047,7.675495088,6.55279568,6.215495781,5.015495781,4.115495781,2.302790708,0.523055691,0.45363153,0.396361281,0.227972061,3.1,1.9,1
27,bcstdcst,-4.322867098,13.0595273,6.441331604,NA,6.449194614,NA,bcstdcst,13.47267143,-22.73844631,10.43167287,NA,10.34858753,NA,bvardcst,9.460371352,-12.67831846,7.808015078,-0.158578155,9.17648103,NA,bcstdcst,77.52925402,-150.980586,7.304564584,NA,5.145162656,NA,8.739246876,9.752851787,0.985776209,2.296714525,4.996714525,138.0956643,3.896714525,3.196714525,1.6,32,61,103,157,9.682064975,9.543497799,9.335441397,7.73845901,4.838872828,3.738872829,3.038872829,1.442158304,0.60296263,0.565966459,0.408748408,0.200333675,2.7,1.6,0.9
28,bvardcst,-55.89928855,118.0594467,4.679537377,-0.063150064,5.94557213,NA,bvardcst,-104.2881631,214.6441228,5.716538561,-0.062756147,6.541718963,NA,bvardcst,-37.90031298,81.8539593,6.646788896,-0.073732308,7.32789202,NA,bvardcst,5.076477298,-4.083590434,5.526709495,-0.241046697,5.818391659,NA,5.441821051,5.915116111,0.69453389,3.6363199,8.5363199,90.44328456,6.4363199,5.0363199,2.6,96,358,454,350,5.899371425,5.847420313,5.736118662,4.942997046,8.343733198,6.243733199,4.843733199,2.407413299,0.532868557,0.470244902,0.430886776,0.231486819,4.899999998,2.799999998,1.399999998
29,bvardcst,-25.74081265,57.5419268,8.132220121,-0.153948383,10.53119612,NA,bvardcst,27.05716341,-48.08838086,7.637569849,-0.17648916,9.221884151,NA,bvardvar,300.3592012,-592.6929895,6.194475187,-0.263231712,7.690213307,15.61987746,bvardcst,699.7776688,-1393.537768,7.706269592,-0.362256091,6.94141309,NA,7.566120049,9.461042858,0.723808845,2.221587265,4.121587265,102.9277912,3.421587265,2.921587265,1.6,402,929,1579,1370,8.982044784,8.666026438,8.319350242,6.489478709,4.069375826,3.369375827,2.869375826,1.547788561,0.456225856,0.39082227,0.341739401,0.170822558,1.9,1.2,0.7
30,bvardvar,-355.0501273,718.2119864,2.150201694,-0.089298366,3.265792433,3.61931012,bvardcst,-795.7576328,1597.54553,2.948649133,-0.068556404,3.591024836,NA,bvardcst,-1267.498873,2541.014988,2.590623292,-0.078344417,2.927046598,NA,bvardcst,-638.6177832,1283.25565,3.013612684,-0.115967091,2.943716676,NA,2.646955808,4.067944288,0.159173383,6.60779473,10.80779473,278.7594004,9.30779473,8.10779473,5.2,363,797,1396,1199,3.33974132,3.143364005,2.948768325,2.290038423,10.32338312,8.823383121,7.623383121,4.715588391,0.468794202,0.383539182,0.30865396,0.215377237,4.200000003,2.700000003,1.500000003
