tree.number.20,median.shifts.20,ESS.shifts.20,ESS.logLik.20,root.lambda.mean.20,root.mu.mean.20,root.lambda.decay.20,root.mu.decay.20,tip.lambda.mean.20,tip.mu.mean.20,median.shifts.50,ESS.shifts.50,ESS.logLik.50,root.lambda.mean.50,root.mu.mean.50,root.lambda.decay.50,root.mu.decay.50,tip.lambda.mean.50,tip.mu.mean.50,median.shifts.80,ESS.shifts.80,ESS.logLik.80,root.lambda.mean.80,root.mu.mean.80,root.lambda.decay.80,root.mu.decay.80,tip.lambda.mean.80,tip.mu.mean.80,median.shifts.s20,ESS.shifts.s20,ESS.logLik.s20,root.lambda.mean.s20,root.mu.mean.s20,root.lambda.decay.s20,root.mu.decay.s20,tip.lambda.mean.s20,tip.mu.mean.s20
25,0,430.6268472,273.4459215,2.093405524,1.299910077,-0.053265986,-0.053265986,1.053380391,1.300323376,0,991,299.0330027,2.218624412,1.49428691,-0.053174705,-0.053174705,1.072646627,1.491942003,0,271,271,0.468569358,0.352596114,-0.025350518,-0.025350518,0.255952111,0.365599181,0,270.2480247,361,1.459256366,0.880972863,0.013208954,0.013208954,1.193150157,0.883787261
26,0,361,361,3.15136205,5.719345512,1.913117479,1.913117479,6.301264169,5.719344979,0,3061,277.1509966,11.34918544,8.228669657,-0.094889003,-0.094889003,7.051620827,8.228639149,0,257.4559475,270.6507143,9.957401583,7.979812973,0.064685627,0.064685627,6.818760343,7.984542864,0,271,271,3.233531587,4.655751956,2.221616421,2.221616421,6.442163347,4.655762532
27,0,1421.544363,273.0619812,9.83296277,7.607391863,-0.098148476,-0.098148476,6.954397484,7.606700497,0,1801,281.9278454,11.28849504,9.996479162,-0.037862821,-0.037862821,9.172793064,9.971864732,0,224.1812988,254.116277,4.340715366,5.158923659,0.107665625,0.107665625,5.139411553,5.144320506,0,280.5056719,288.8137981,8.867987906,5.808805665,0.046950588,0.046950588,7.47262628,5.808513076
28,0,1208.250164,316.1941748,9.007158533,7.016412766,-0.068517593,-0.068517593,6.450737337,7.016646724,0,2476,533.0027204,8.119328776,6.322880961,-0.06019959,-0.06019959,5.571405688,6.322841293,0,2859.948815,309.752194,6.910120444,5.228287028,-0.06093855,-0.06093855,4.164961646,5.225902972,0,497.8090418,344.0381922,9.363183817,5.570393284,-0.221034976,-0.221034976,5.428559897,5.570901965
29,0,169.6782418,34.68965042,13.06897066,8.700934452,-0.148328833,-0.148328833,7.795472778,8.711635978,0,1190.016632,304.8316773,13.56307819,9.078046746,-0.173390776,-0.173390776,7.559476144,9.080527751,0,586,309.6507982,15.12451075,10.49155222,-0.152844928,-0.152844928,8.128084759,10.49102641,0,586,246.9044351,13.2390902,6.817653976,-0.3489177,-0.3489177,7.661425193,6.817781183
30,0,361,361,1.046094457,1.70867313,0.749353371,0.749353371,2.087402698,1.708701541,0,285.1464177,406,1.052430702,1.861195936,0.691476862,0.691476862,2.101777101,1.861187941,0,1261,275.6032453,6.231702998,4.392049072,-0.058285174,-0.058285174,3.419997918,4.391993242,0,426.6658936,307.7473249,5.141837692,2.906180562,-0.113154071,-0.113154071,3.002722688,2.906175637
31,0,316,255.9481204,1.52416712,2.036168965,0.101917927,0.101917927,2.214557781,2.036369404,0,291.1151458,361,1.096860211,1.130252235,0.080286414,0.080286414,1.309869983,1.130516148,0,406,406,0.734020886,1.102778423,0.079276649,0.079276649,0.943023537,1.107929904,0,302.1122322,316,1.360955525,1.31431665,0.138272377,0.138272377,1.556939752,1.341914038
32,0,258.5325265,316,2.735619842,1.097324305,-0.240524775,-0.240524775,1.412194686,1.151238046,0,404.5602143,669.0238981,1.651315641,1.263383464,-0.00527925,-0.00527925,1.29864997,1.329015512,1,301.6661859,451,0.955276921,2.062142949,0.007218295,0.007218295,1.711118402,2.120891702,0,361,361,1.330161812,1.082006181,0.106073722,0.106073722,1.502512946,1.085334742
33,0,1081,250.95581,4.218125837,2.979625439,-0.056538953,-0.056538953,2.56378025,2.979448958,0,1171,399.1135887,4.832344176,3.814456994,-0.034898393,-0.034898393,3.251553434,3.814289395,0,242.1217,407.3073245,1.90899435,1.97800968,0.014866985,0.014866985,2.008529597,1.98302095,0,316,316,4.402323671,2.349744051,-0.133026746,-0.133026746,2.553933952,2.349733953
34,0,941.2870808,259.2679415,9.758311711,7.35895568,-0.127720573,-0.127720573,6.138068771,7.348158193,0,684.8542757,279.1990155,5.689147596,6.054604414,0.083952457,0.083952457,6.412940101,6.060829916,0,309.1603224,310.4617212,3.374263091,3.442104189,0.052801529,0.052801529,3.286162087,3.444846773,0,271,323.723688,8.71191059,5.454526052,-0.162403135,-0.162403135,6.052487104,5.464414402
