tree.number.20,median.shifts.20,ESS.shifts.20,ESS.logLik.20,root.lambda.mean.20,root.mu.mean.20,root.lambda.decay.20,root.mu.decay.20,tip.lambda.mean.20,tip.mu.mean.20,median.shifts.50,ESS.shifts.50,ESS.logLik.50,root.lambda.mean.50,root.mu.mean.50,root.lambda.decay.50,root.mu.decay.50,tip.lambda.mean.50,tip.mu.mean.50,median.shifts.80,ESS.shifts.80,ESS.logLik.80,root.lambda.mean.80,root.mu.mean.80,root.lambda.decay.80,root.mu.decay.80,tip.lambda.mean.80,tip.mu.mean.80,median.shifts.s20,ESS.shifts.s20,ESS.logLik.s20,root.lambda.mean.s20,root.mu.mean.s20,root.lambda.decay.s20,root.mu.decay.s20,tip.lambda.mean.s20,tip.mu.mean.s20
25,0,247.2227939,288.8737311,2.485597598,0.971241173,-0.280144671,-0.280144671,1.030847126,0.991329473,0,363.7395873,451,1.398114987,1.154336863,-0.058354988,-0.058354988,1.021400661,1.202356318,0,0,362.6211712,0.032,0.005,-0.273339233,-0.273339233,0.03001328,0.005,0,226.8450336,271,2.463737587,1.730557328,0.137916833,0.137916833,2.431071964,1.714611419
26,0,271,271,3.726736458,0.331693352,-0.733670384,-0.733670384,0.24923362,0.335341085,0,218.3737337,358.6343429,4.099934645,0.661557282,-0.662474338,-0.662474338,0.196294343,0.663679928,0,299.9205299,300.9791858,3.751093277,0.83989755,-0.542915898,-0.542915898,0.152019925,0.841240618,0,278.2355877,292.9944228,4.385292798,1.028850993,-0.369932534,-0.369932534,2.147077143,1.051567098
27,0,361,278.2149817,5.183124875,0.19185658,-0.77524018,-0.77524018,0.003039215,0.192078277,0,2431,259.6817112,4.124056429,0.48657316,-0.321769768,-0.321769768,0.013310536,0.486599549,0,4501,236.1292103,3.089233195,0.526297973,-0.151294112,-0.151294112,0.018156207,0.526286136,0,271,271,5.416439668,0.17261778,-0.945451506,-0.945451506,0.396730089,0.176340181
28,0,872.8236072,99.60740906,6.911504117,0.491189205,-0.98564151,-0.98564151,0.274517766,0.492280525,0,289.6839694,406,7.823832783,0.630282796,-1.054193874,-1.054193874,0.118068089,0.630570965,0,541,342.6869804,8.855974436,1.213986861,-0.845798296,-0.845798296,0.117961976,1.214543333,0,223.3962645,438.3734035,9.115701672,1.304767385,-0.973861626,-0.973861626,1.895251638,1.306931423
29,0,306.2534205,249.7662344,5.159183614,1.253698718,-0.420753102,-0.420753102,0.853875432,1.254375976,0,406,263.9230704,5.267112586,1.393654461,-0.399016259,-0.399016259,0.698258161,1.393753854,0,406,291.5442576,5.31602936,1.479324776,-0.380416126,-0.380416126,0.536005113,1.479316718,0,388.0209112,451,5.81741459,1.507372082,-0.441484796,-0.441484796,2.057577422,1.507839949
30,0,271,271,0.930513181,0.26135069,-0.101542775,-0.101542775,0.304824499,0.263495725,0,316,316,0.631874538,0.157929557,-0.08625004,-0.08625004,0.202181268,0.159608295,0,271,271,0.678405482,0.218000317,-0.13005691,-0.13005691,0.097075557,0.224656058,0,271,271,1.17791783,0.451818584,-0.012790007,-0.012790007,0.847890958,0.458093909
31,0,271,221.2311297,3.48428638,0.577529719,-0.421754107,-0.421754107,0.086450929,0.577958243,0,361,306.3445426,2.408897812,0.54515314,-0.222320352,-0.222320352,0.072848618,0.545295931,0,406,406,0.171909383,0.059201754,-0.069199299,-0.069199299,0.022605502,0.061054317,0,266.4295095,321.2758338,3.140898367,0.418147573,-0.609671542,-0.609671542,0.626661628,0.4320867
32,0,211.2239339,267.6748689,6.117734812,0.83163647,-0.727082858,-0.727082858,0.300766344,0.832079127,0,271,271,5.879123358,0.788003941,-0.711955395,-0.711955395,0.143906942,0.788185708,0,271,271,5.452692509,0.851566679,-0.603340432,-0.603340432,0.085809933,0.852548236,0,361,361,6.331682521,0.687695909,-0.832261665,-0.832261665,1.269673146,0.692398824
33,0,280.5603231,361,0.836042866,1.741959227,-0.05254059,-0.05254059,0.867923263,1.700236976,,,,,,,,,,0,0,1865.159204,0.032,0.005,-0.048544426,-0.048544426,0.03116653,0.005,0,361,308.682093,10.52760704,3.377240126,-2.425168964,-2.425168964,3.628134069,3.587866675
34,0,327.1921603,406,0.265301756,0.004312312,1.637217931,1.637217931,0.530536373,0.004803262,0,541,454.5677284,6.808263142,0.755967871,-0.773927736,-0.773927736,0.132649165,0.756134429,0,406,308.217299,7.041225542,0.821675195,-0.738321542,-0.738321542,0.055936014,0.821682115,0,316,316,6.680350633,0.429866675,-0.816780225,-0.816780225,1.255208563,0.430438968
35,1,655.3818829,766,3.535185791,0.4110034,-0.454911812,-0.454911812,0.197712084,0.470105138,0,316,316,0.130456668,0.001781978,1.161165282,1.161165282,0.260957634,0.001900385,0,586,279.0165536,5.320469386,0.530499932,-0.556736143,-0.556736143,0.035263563,0.530571251,0,283.5278854,376.0211759,5.286045464,0.570993911,-0.558757101,-0.558757101,1.040419768,0.571241384
36,0,406,254.6133422,5.395634828,0.795758993,-0.586224431,-0.586224431,0.496561114,0.795802011,0,451,331.0397374,4.651276386,0.572293971,-0.597523475,-0.597523475,0.240340612,0.572995924,0,406,406,5.266765887,0.797479663,-0.589716687,-0.589716687,0.129859945,0.798028601,0,333.3904988,406,5.510023374,1.032276057,-0.519993594,-0.519993594,1.745782876,1.034419297
37,0,408.1375911,294.6807062,8.606258054,2.621969048,-0.801481768,-0.801481768,1.19819007,2.623260883,0,255.8780209,408.7132456,4.72341063,1.122937339,-0.760520098,-0.760520098,0.483510384,1.146110998,0,316,316,2.401120513,0.536253175,-0.683504538,-0.683504538,0.187465031,0.553593634,0,451,496.8051749,9.231706918,2.040330721,-1.312143988,-1.312143988,2.030207032,2.059502277
38,1,946,281.9634353,1.546299049,0.232165075,-0.361912871,-0.361912871,0.020444308,0.196357701,0,742.9114415,294.607052,7.018878779,0.365034561,-0.650462973,-0.650462973,0.007834329,0.365085712,0,2869.762345,280.3218522,4.877380278,0.64421042,-0.313771483,-0.313771483,0.02508202,0.644326623,0,406,406,7.119387094,0.11652263,-0.859894564,-0.859894564,0.59740584,0.119094831
39,0,256.8778709,451,3.197642727,0.266552521,-0.699382858,-0.699382858,0.134323792,0.273685745,0,271,271,2.363660406,0.296404188,-0.586143096,-0.586143096,0.05679913,0.29860839,0,280.1291879,361,0.744329509,0.183338836,-0.257116765,-0.257116765,0.05701575,0.187917646,0,361,361,3.981432632,0.742377388,-0.615532977,-0.615532977,1.201796655,0.737537788
40,0,197.1269937,316,4.280911867,0.377918566,-0.643650759,-0.643650759,0.1616722,0.378213246,0,316,534.0937933,4.03903807,0.41095381,-0.598766316,-0.598766316,0.085582422,0.411477357,0,311.2867066,406,3.413869532,0.562107304,-0.449428995,-0.449428995,0.075510171,0.562661946,0,270.0715492,406,5.54598234,0.933695596,-0.631773123,-0.631773123,1.125625124,0.938844328
41,0,64.92699805,679.0260524,8.273267248,2.485987287,-0.551355156,-0.551355156,0.961710424,1.570968077,0,541,306.4109007,8.631211701,1.531407135,-0.619329078,-0.619329078,0.650927161,1.531434351,0,763.9987717,419.9844968,8.761746351,1.505161875,-0.628689851,-0.628689851,0.353422378,1.506184882,0,696.8057561,433.4565536,9.584431645,1.780870363,-0.657058546,-0.657058546,2.476424583,1.781011637
42,0,496,265.57371,3.516853466,1.320790133,-0.220742022,-0.220742022,1.068532047,1.321153227,0,373.1548244,285.6749691,3.320659926,1.36055249,-0.205818467,-0.205818467,0.893993945,1.360714643,0,496,332.6043809,4.066768024,1.791827339,-0.200069367,-0.200069367,0.891244047,1.790770029,0,316,316,3.649310228,1.371281114,-0.178075581,-0.178075581,1.995138746,1.382881619
43,0,271,457.0882525,1.397631878,0.537215391,-0.288601999,-0.288601999,0.460863447,0.567579396,0,361,361,0.650201843,0.284342571,-0.302207517,-0.302207517,0.160902274,0.31884189,0,279.1697913,334.8013859,0.313302736,0.179831801,-0.170383828,-0.170383828,0.101981502,0.201196968,0,403.2603203,245.2705365,1.46467429,0.877347316,-0.035294233,-0.035294233,1.146015094,0.750577169
44,0,282.7558459,297.6851899,2.276300476,0.284869415,-0.386914319,-0.386914319,0.165836534,0.289582563,0,255.7021289,316,1.736142911,0.124005646,-0.457527063,-0.457527063,0.039174568,0.125488067,0,271,271,1.42414021,0.192039781,-0.344564137,-0.344564137,0.031010016,0.19395459,0,285.9346401,379.5160624,3.291106518,0.760315253,-0.374820948,-0.374820948,0.934782294,0.733377041
45,0,271,271,9.317812325,1.288881697,-0.853311114,-0.853311114,0.653297198,1.289190229,0,406,282.0961694,9.700761059,1.406626337,-0.842069594,-0.842069594,0.392778376,1.406752356,0,333.0608718,332.3359058,9.085123415,1.326634335,-0.822625255,-0.822625255,0.191968727,1.326791676,0,293.8977898,240.7636728,11.61002441,2.043092872,-0.919214362,-0.919214362,2.458378812,2.044230935
46,0,356.9370837,451,5.250696408,0.301208243,-0.803811137,-0.803811137,0.037493578,0.301521709,0,237.2609163,302.4132063,4.965415063,0.443659981,-0.607832161,-0.607832161,0.022229352,0.443893111,0,1238.702461,269.6901112,4.256554641,0.751349262,-0.308454094,-0.308454094,0.055666119,0.751379092,0,451,451,5.618002816,0.253696695,-0.854785563,-0.854785563,0.75676745,0.259846908
47,0,271,330.3324219,3.833975424,0.096126713,-0.691386886,-0.691386886,0.012900643,0.096390332,0,451,349.6756501,3.949006563,0.218917394,-0.577139461,-0.577139461,0.004114686,0.218960575,0,4006,239.1453461,3.812558552,0.559668201,-0.275189856,-0.275189856,0.022171492,0.559689674,0,316,316,4.237736804,0.289381061,-0.640967528,-0.640967528,0.527287849,0.290818021
48,0,316,242.3489698,8.824697532,1.640735411,-0.673394481,-0.673394481,1.055778049,1.640765002,0,247.7833057,402.3201733,0.337829858,0.003731557,2.306699525,2.306699525,0.67622819,0.004429842,0,347.3226093,293.1023453,9.153697494,1.549873636,-0.728824907,-0.728824907,0.33312238,1.549945334,0,496,317.654085,7.455165524,1.247648958,-0.166846577,-0.166846577,2.500249631,1.24797482
49,0,287.7707632,406,2.90474101,0.29521748,-0.533623663,-0.533623663,0.033045155,0.2961405,0,357.4719968,229.9257521,3.010221109,0.523042933,-0.324081412,-0.324081412,0.049392961,0.523051794,0,614.2198988,285.664769,2.468311207,0.65625428,-0.154751646,-0.154751646,0.08921603,0.655950619,0,271,278.8811019,4.734798339,0.598346855,-0.822024734,-0.822024734,0.424185358,0.60395907
