tree.number,models80,likelihood.80,aicc.80,lambda.80,alpha.80,mu.80,beta.80,models.50,likelihood.50,aicc.50,lambda.50,alpha.50,mu.50,beta.50,models.20,likelihood.20,aicc.20,lambda.20,alpha.20,mu.20,beta.20,models.s20,likelihood.s20,aicc.s20,lambda.s20,alpha.s20,mu.s20,beta.s20,lambda.init.sim.80,lambda.final.sim.80,alpha.sim.80,mu.sim.80,netdiv.sim.80,ntip.80,lambda.init.sim.50,lambda.final.sim.50,alpha.sim.50,mu.sim.50,netdiv.sim.50,ntip.50,lambda.init.sim.20,lambda.final.sim.20,alpha.sim.20,mu.sim.20,netdiv.sim.20,ntip.20,lambda.init.sim.s20,lambda.final.sim.s20,alpha.sim.s20,mu.sim.s20,netdiv.sim.s20,ntip.s20,time.80,time.50,time.20,time.s20,decline.length.80,decline.length.50,decline.length.20,gamma.80,gamma.50,gamma.20,gamma.s20,cga.80,cga.50,cga.20,cga.s20
872,bvardcst,-85.33630514,177.0308192,0.023215329,-0.893356199,0.806426305,NA,bvardcst,-261.2770442,528.6866852,0.100184162,-0.910613949,0.87259235,NA,bvardcst,-405.0965162,816.2704518,0.215365305,-0.961307782,0.791290395,NA,bvardcst,-143.2745219,292.6202604,1.220402162,-0.989271444,0.733057377,NA,7.254589,0.014642499,0.9376402,0.5672076,-0.552565101,71,7.254589,0.072090087,0.9376402,0.5672076,-0.495117513,185,7.254589,0.202212832,0.9376402,0.5672076,-0.364994768,314,7.254589,1.221546714,0.9376402,0.5672076,0.654339114,341,6.618169,4.918169,3.818169,1.9,3.9,2.2,1.1,-0.767790038,-0.559585999,-0.417578233,-0.182265833,6.543871396,4.843871397,3.772274389,2.522860334
873,bvardcst,-77.46217479,161.4349879,0.561681455,-0.537859285,1.84479595,NA,bvardcst,-147.7603963,301.731319,0.860952547,-0.572074405,1.906948862,NA,bvardcst,-206.1768015,418.4724148,0.93375777,-0.63998938,1.430474376,NA,bcstdcst,-16.97524016,38.01641439,2.478984384,NA,1.31E-06,NA,8.0144,0.389912785,0.6244693,1.639592,-1.249679215,51,8.0144,0.683991476,0.6244693,1.639592,-0.955600524,118,8.0144,0.994884883,0.6244693,1.639592,-0.644707117,206,8.0144,2.446719759,0.6244693,1.639592,0.807127759,185,4.841026,3.941026,3.341026,1.9,2.3,1.4,0.8,-0.234374309,-0.12295136,-0.126226597,-0.151007693,4.607493276,3.707493277,3.107493277,4.192696283
874,bvardcst,-28.65539347,64.64412028,0.40005133,-0.823214853,1.931298177,NA,bvardcst,-48.46058737,103.4545081,1.364466582,-0.70830718,-3.31512926,NA,bvardcst,-58.70701974,123.7890395,1.018798344,-0.980583457,2.424981858,NA,bvardcst,1.253265662,3.760135344,3.442667849,-1.10875283,-4.281659817,NA,8.008271,0.320677661,0.8932418,1.750393,-1.429715339,22,8.008271,0.655258547,0.8932418,1.750393,-1.095134453,49,8.008271,1.024183292,0.8932418,1.750393,-0.726209708,68,8.008271,2.741717976,0.8932418,1.750393,0.991324976,94,3.602377,2.802377,2.302377,1.2,1.9,1.1,0.6,-0.326134872,-0.084539737,-0.176860357,-0.252767389,3.599258952,2.799258952,2.299258952,2.399258952
875,bvardcst,-9.505438862,31.01087772,0.002455288,-1.549134612,-9.07E-08,NA,bvardcst,-36.46264548,80.01620005,0.385424463,-0.743054115,1.145545929,NA,bvardcst,-44.29129677,95.21417248,0.943819919,-0.611340077,1.481925372,NA,bcstdcst,-13.97099692,32.30563021,1.823899932,NA,-1.00E-05,NA,9.858778,0.233912771,0.7790626,1.403595,-1.169682229,8,9.858778,0.471587476,0.7790626,1.403595,-0.932007524,26,9.858778,0.813583393,0.7790626,1.403595,-0.590011607,42,9.858778,2.243738136,0.7790626,1.403595,0.840143136,36,4.802142,3.902142,3.202142,1.9,2.3,1.4,0.7,-0.781905853,-0.288448637,-0.103770349,-0.405948904,4.269477844,3.369477844,2.669477845,8.307043506
876,bvardcst,-35.0310391,77.56207821,0.015349724,-0.488510654,0.45777029,NA,bvardcst,-85.60946969,177.7406785,0.016741974,-0.720679535,0.363036979,NA,bvardcst,-182.2516684,370.7386308,0.076667389,-0.693363282,-0.282057954,NA,bvardcst,-73.99068345,154.2422365,0.696215046,-0.697543762,-1.18E-05,NA,3.829791,0.002484936,0.6288261,0.277673,-0.275188064,20,3.829791,0.021078572,0.6288261,0.277673,-0.256594428,50,3.829791,0.07894819,0.6288261,0.277673,-0.19872481,106,3.829791,0.658426193,0.6288261,0.277673,0.380753193,96,11.67305,8.273048,6.173048,2.8,7.500002,4.1,2,-0.789833427,-0.70483436,-0.490124778,-0.757286788,11.29788342,7.897881417,5.797881417,26.53044314
877,bcstdcst,-14.0309544,38.06190879,-0.081424788,NA,-4.82E-08,NA,bcstdcst,-35.17041661,75.43174231,0.181624205,NA,8.37E-09,NA,bvardcst,-38.52841352,84.77111275,0.077923271,-0.328014131,-1.34E-07,NA,bcstdcst,-23.04350508,50.68701017,1.156795376,NA,0.41644659,NA,2.595772,0.02799916,0.3280046,0.338664,-0.31066484,5,2.595772,0.079980932,0.3280046,0.338664,-0.258683068,14,2.595772,0.159269529,0.3280046,0.338664,-0.179394471,18,2.595772,0.613033146,0.3280046,0.338664,0.274369146,23,13.80915,10.609153,8.509153,4.4,7.599997,4.4,2.3,-0.430584929,-0.238523216,-0.388774021,-0.089924274,11.77741909,8.577422091,6.5782377,2.59024207
878,bvardcst,-264.896949,535.904497,0.130716599,-1.021932777,1.310871527,NA,bvardcst,-757.475012,1520.98776,0.356722655,-0.976630981,-1.253677976,NA,bvardcst,-966.7335095,1939.49014,0.700822116,-0.94746472,1.367984482,NA,bvardcst,-61.24718188,128.5165449,2.344789382,-1.06842543,1.871273662,NA,9.979993,0.167405524,0.9616161,1.388494,-1.221088476,221,9.979993,0.39776988,0.9616161,1.388494,-0.99072412,640,9.979993,0.7082827,0.9616161,1.388494,-0.6802113,1042,9.979993,2.358812322,0.9616161,1.388494,0.970318322,1086,4.251092,3.351092,2.751092,1.5,2.2,1.3,0.7,-0.583529741,-0.359151939,-0.234432662,-0.620370369,4.231882454,3.331882455,2.731882455,5.560948318
879,bvardcst,-811.2812548,1628.607707,0.11521233,-0.74682452,1.020718896,NA,bvardcst,-2125.587669,4257.191969,0.306740953,-0.711313039,1.117882258,NA,bvardcst,-3009.045588,6024.100981,0.511573487,-0.720436137,1.052176458,NA,bvardvar,-652.5901187,1313.196206,1.754053169,-0.904322096,-1.729708571,4.725019211,7.931324,0.142783889,0.6939188,1.068164,-0.925380112,535,7.931324,0.306323857,0.6939188,1.068164,-0.761840143,1447,7.931324,0.533670143,0.6939188,1.068164,-0.534493857,2452,7.931324,1.84705135,0.6939188,1.068164,0.77888735,2510,5.789212,4.689212,3.889212,2.1,2.9,1.8,1,-0.550361449,-0.347971373,-0.242879193,-0.143795735,5.774086429,4.674086429,3.874086429,2.448918783
880,bvardcst,-15.08582912,40.17165823,0.17534966,-0.508342702,1.466723403,NA,bvardcst,-44.52173419,95.9665453,-0.018268831,-1.016253459,-9.87E-07,NA,bvardcst,-78.64986303,163.7703143,0.145023297,-0.738106231,-1.42E-05,NA,bvardcst,-22.68886226,51.92317907,1.696006667,-0.800125062,-1.785453562,NA,5.254947,0.01842956,0.7895235,0.5494439,-0.53101434,10,5.254947,0.082603375,0.7895235,0.5494439,-0.466840525,30,5.254947,0.196866609,0.7895235,0.5494439,-0.352577291,55,5.254947,1.17242619,0.7895235,0.5494439,0.62298229,48,7.159976,5.259976,4.159976,1.9,4.3,2.4,1.3,-0.503049936,-0.649296918,-0.396437172,-0.649296918,6.927993145,5.027993147,3.927993147,5.027993147
881,bvardvar,-283.9841905,576.2858414,0.006885113,-0.466945229,0.856247155,0.101539527,bvardcst,-717.5712885,1441.216197,0.030780765,-0.461375164,-0.264499356,NA,bvardcst,-1126.798747,2259.640894,0.089222117,-0.462237434,-0.259642428,NA,bvardcst,-638.6918636,1283.427443,0.567403469,-0.488833189,0.335698002,NA,4.269966,0.006140806,0.4614413,0.270095,-0.263954194,131,4.269966,0.032334778,0.4614413,0.270095,-0.237760222,330,4.269966,0.093452973,0.4614413,0.270095,-0.176642027,557,4.269966,0.587081442,0.4614413,0.270095,0.316986442,553,14.18253,10.582533,8.282533,4.3,8.199997,4.6,2.3,-0.698189439,-0.574512451,-0.423373129,-0.028444782,13.73409123,10.13409424,7.834094235,4.556116066
882,bvardcst,-92.64532078,191.8620701,0.05890986,-0.473688432,0.573620055,NA,bvardcst,-188.2295628,382.7144448,0.236022226,-0.430682446,0.926725013,NA,bvardcst,-249.3847739,504.9422096,0.177072004,-0.5526809,0.470669168,NA,bvardcst,-162.8279693,331.7809385,0.959165158,-0.596361692,0.778485725,NA,4.344391,0.061172283,0.4651871,0.5705451,-0.509372817,46,4.344391,0.148049945,0.4651871,0.5705451,-0.422495155,98,4.344391,0.271047183,0.4651871,0.5705451,-0.299497917,143,4.344391,1.027168079,0.4651871,0.5705451,0.456622979,196,9.16394,7.26394,5.96394,3.1,4.8,2.9,1.6,-0.558116647,-0.336636386,-0.355223252,-0.098941482,8.843260719,6.94326072,5.643260719,1.708396964
883,bvardcst,-75.9454095,158.7797079,0.381494838,-0.140148437,0.860083253,NA,bvardcst,-154.7761797,315.9001855,0.529810702,-0.124056367,0.803813954,NA,bcstdcst,-222.6293492,449.3658412,0.385622488,NA,-1.35E-06,NA,bcstdcst,-129.9485042,264.0022715,1.215111713,NA,0.609029534,NA,2.957534,0.42223146,0.140233,0.9390621,-0.51683064,31,2.957534,0.566820416,0.140233,0.9390621,-0.372241684,73,2.957534,0.69951835,0.140233,0.9390621,-0.23954375,115,2.957534,1.20546407,0.140233,0.9390621,0.26640197,117,13.88088,11.780883,10.280883,6.4,5.699997,3.6,2.1,-0.033383622,0.06287885,-0.026866957,0.093157213,12.98403044,10.88403344,9.384033438,6.584030437
884,bcstdcst,-2.871425286,-2.257149428,0.233729661,NA,0.332265603,NA,bcstdcst,-13.77900815,33.27230201,0.799106533,NA,0.448349854,NA,bcstdcst,-12.33548338,30.38525248,1.065155325,NA,0.726762526,NA,bcstdcst,-5.710617389,16.51214387,2.808261278,NA,2.002992367,NA,5.778104,0.182389561,0.6531047,1.135511,-0.953121439,2,5.778104,0.374113794,0.6531047,1.135511,-0.761397206,10,5.778104,0.590951118,0.6531047,1.135511,-0.544559882,10,5.778104,1.903696669,0.6531047,1.135511,0.768185669,14,5.291167,4.191167,3.491167,1.7,2.8,1.7,1,NA,0.209560585,0.259463822,-0.595452874,1.577490104,3.964980869,3.264980869,4.774182725
885,bvardcst,-104.951202,216.2895007,0.07828123,-0.703369401,0.870322953,NA,bvardcst,-210.7477226,427.6719158,0.122625574,-0.844354355,0.72757592,NA,bvardcst,-292.5169969,591.1430847,0.31799076,-0.838245879,0.904018762,NA,bvardcst,-80.26311232,166.6444512,1.059813973,-0.961422812,7.86E-06,NA,7.086023,0.037545075,0.8094724,0.6920391,-0.654494025,66,7.086023,0.12643784,0.8094724,0.6920391,-0.56560126,140,7.086023,0.284070715,0.8094724,0.6920391,-0.407968386,224,7.086023,1.403795237,0.8094724,0.6920391,0.711756137,207,6.473769,4.973769,3.973769,2,3.6,2.1,1.1,-0.594935504,-0.490970455,-0.340710854,-0.29876703,6.323573703,4.823573704,3.823573704,5.648631732
886,bvardcst,-1697.50457,3401.033756,0.149661687,-0.587983831,0.924095442,NA,bvardcst,-3968.93513,7943.879853,0.385381518,-0.542235414,1.064899436,NA,bvardcst,-5352.227403,10710.46063,0.604026881,-0.556025113,1.056314502,NA,bvardcst,-1880.460657,3766.927087,1.710096652,-0.60012712,-1.308902008,NA,6.891223,0.190136858,0.5508081,1.04864,-0.858503142,979,6.891223,0.368232245,0.5508081,1.04864,-0.680407755,2506,6.891223,0.604523854,0.5508081,1.04864,-0.444116146,4125,6.891223,1.645669863,0.5508081,1.04864,0.597029863,4162,6.518168,5.318168,4.418168,2.6,3.1,1.9,1,-0.467799548,-0.26046012,-0.176284181,-0.008270307,6.512962924,5.312962925,4.412962925,3.093155191
887,bvardcst,-31.9423768,71.59903931,0.079791255,-0.638090013,0.620219913,NA,bvardcst,-128.601731,263.5234619,0.404164613,-0.492628951,1.005000682,NA,bvardcst,-196.5882388,399.3386397,0.808496065,-0.467867388,1.374328508,NA,bvardcst,-66.76712994,139.7232362,1.413363701,-0.34818001,-0.226859228,NA,5.980819,0.351406645,0.4496751,1.294658,-0.943251355,18,5.980819,0.576275991,0.4496751,1.294658,-0.718382009,79,5.980819,0.825778664,0.4496751,1.294658,-0.468879336,152,5.980819,1.943265422,0.4496751,1.294658,0.648607422,131,6.303148,5.203148,4.403148,2.5,2.9,1.8,1,-0.511450089,-0.219503874,-0.098930565,-0.013165411,6.241964339,5.141964339,4.341964339,2.520824777
888,bvardcst,-103.0649069,212.5508664,0.265087412,-0.568575974,1.070452115,NA,bvardcst,-275.3868533,556.9000223,0.517186765,-0.527632747,0.992311704,NA,bvardcst,-356.6613015,719.3983128,0.901303321,-0.546991209,1.393890603,NA,bvardcst,-62.44718543,130.9819621,2.551725475,-0.449298165,1.796205093,NA,7.745187,0.332245502,0.5644296,1.44143,-1.109184498,61,7.745187,0.584235269,0.5644296,1.44143,-0.857194732,194,7.745187,0.867316948,0.5644296,1.44143,-0.574113052,321,7.745187,2.237426895,0.5644296,1.44143,0.795996895,278,5.579,4.579,3.879,2.2,2.6,1.6,0.9,-0.353023239,-0.186982182,-0.111386591,-0.708100505,5.422698372,4.422698373,3.722698374,6.292649173
889,bvardcst,-73.59209118,153.6841824,0.505767509,-0.654806773,1.709019701,NA,bvardcst,-108.6046066,223.478876,0.880388119,-0.67184855,2.138513561,NA,bvardcst,-129.7803451,265.7297043,1.372599153,-0.664378521,2.479994009,NA,bvardcst,-2.767097532,11.6860938,3.401720334,-0.920772166,-3.876407444,NA,8.132741,0.409783812,0.7489787,1.832776,-1.422992188,52,8.132741,0.692227613,0.7489787,1.832776,-1.140548387,93,8.132741,1.006671046,0.7489787,1.832776,-0.826104954,146,8.132741,2.850025191,0.7489787,1.832776,1.017249191,162,3.989464,3.289464,2.789464,1.4,2,1.3,0.8,-0.246741244,-0.149200113,-0.064638092,-0.260907349,3.86900526,3.16900526,2.66900526,5.018885331
890,bvardcst,-23.92665476,55.26507423,0.287929275,-1.019966567,2.058958125,NA,bvardcst,-81.16794778,168.6646627,0.679436654,-0.945207567,2.027828921,NA,bvardvar,-91.62757519,191.6187867,0.700443419,-1.30751984,3.205695094,1.695566765,bvardcst,7.987544486,-9.769960767,3.371905187,-1.39575311,-4.491789638,NA,9.648572,0.293512959,0.9972556,1.766899,-1.473386041,21,9.648572,0.589928128,0.9972556,1.766899,-1.176970872,77,9.648572,0.971293329,0.9972556,1.766899,-0.795605671,115,9.648572,2.915680398,0.9972556,1.766899,1.148781398,121,3.502255,2.802255,2.302255,1.2,1.8,1.1,0.6,-0.453599309,-0.243417898,-0.197664584,-0.275839847,3.398841525,2.698841525,2.198841525,3.944659245
891,bcstdcst,-18.98035522,43.96071043,0.253478216,NA,3.07E-07,NA,bvardcst,-31.39894723,70.39789445,0.12751902,-0.595942887,-0.095966932,NA,bvardcst,-45.18877256,97.10481785,1.083960033,-0.409737619,1.73247647,NA,bvardcst,-14.38410291,35.81168408,1.006820777,-0.733533431,5.79E-07,NA,5.155705,0.093425075,0.6484982,0.847299,-0.753873925,9,5.155705,0.23161054,0.6484982,0.847299,-0.61568846,19,5.155705,0.41517729,0.6484982,0.847299,-0.43212171,37,5.155705,1.503742933,0.6484982,0.847299,0.656443933,27,6.184596,4.784596,3.884596,1.9,3.4,2,1.1,-0.173148479,-0.359736112,-0.011819593,-0.028302344,5.740145573,4.340145573,3.440145573,1.433141875
892,bvardcst,-410.4320432,826.9823129,0.002874519,-0.274120635,0.272105415,NA,bvardcst,-1122.094125,2250.235125,0.000987831,-0.496891898,0.077654438,NA,bvardvar,-1965.700596,3939.44639,0.011472618,-0.508860496,2.013490063,0.009551023,bvardcst,-1201.311066,2408.650072,0.327554295,-0.440326761,3.43E-05,NA,3.937317,1.23E-05,0.4946961,0.09993344,-0.09992115,207,3.937317,0.001164439,0.4946961,0.09993344,-0.098769001,516,3.937317,0.013814512,0.4946961,0.09993344,-0.086118928,890,3.937317,0.331880282,0.4946961,0.09993344,0.231946842,863,25.62628,16.426278,11.426278,5,18.200002,9,4,-0.904501455,-0.788626557,-0.612674865,0.176159581,25.59650061,16.39649862,11.39649861,1.487768198
893,bvardcst,-87.61637905,181.6942966,0.427359843,-0.578705439,1.553762506,NA,bvardcst,-161.1913107,328.5860113,0.747763954,-0.500312769,-1.403799496,NA,bvardcst,-176.5569578,359.2436454,1.354108126,-0.441314444,-1.768237482,NA,bcstdcst,-32.73511476,69.55076644,2.188381652,NA,1.08E-06,NA,7.250899,0.608855472,0.4905653,1.881606,-1.272750529,56,7.250899,0.901475764,0.4905653,1.881606,-0.980130236,122,7.250899,1.270834269,0.4905653,1.881606,-0.610771731,189,7.250899,2.71826786,0.4905653,1.881606,0.83666186,152,5.049888,4.249888,3.549888,2,2.3,1.5,0.8,-0.289333189,-0.118954334,-0.012466542,NA,4.92790894,4.127908941,3.427908941,1.00928452
894,bvardcst,-487.2988674,980.6777349,0.379868623,-0.553280335,1.396275547,NA,bvardcst,-938.8233819,1883.682585,0.571554767,-0.568722177,1.313295118,NA,bvardcst,-1177.156641,2360.335608,0.831457196,-0.551339187,1.148779652,NA,bvardvar,-281.3141735,570.6675244,1.847389798,-0.874801255,4.310900571,1.164150732,7.964082,0.356777467,0.5858841,1.455688,-1.098910533,304,7.964082,0.604503787,0.5858841,1.455688,-0.851184213,674,7.964082,0.91098534,0.5858841,1.455688,-0.544702661,1079,7.964082,2.19459312,0.5858841,1.455688,0.73890512,1026,5.300681,4.400681,3.700681,2.2,2.4,1.5,0.8,-0.305374049,-0.197286309,-0.126545885,-0.2806257,5.243368271,4.343368272,3.643368272,2.905692968
895,bvardcst,-9.784753446,37.56950689,0.013575194,-0.758161052,0.444293114,NA,bvardcst,-70.29893016,147.2835746,0.269916888,-0.411150324,0.532619858,NA,bvardcst,-83.09133857,172.6626771,0.211807699,-0.500245013,-0.004315825,NA,bcstdcst,-33.54656082,71.39312165,1.223196039,NA,-5.63E-07,NA,5.092813,0.091286501,0.5495726,0.7368458,-0.645559299,6,5.092813,0.20817141,0.5495726,0.7368458,-0.52867439,39,5.092813,0.381035172,0.5495726,0.7368458,-0.355810628,54,5.092813,1.289041386,0.5495726,0.7368458,0.552195586,43,7.317655,5.817655,4.717655,2.5,3.8,2.3,1.2,-0.629259444,-0.22397449,-0.294050095,-0.811351134,7.257179053,5.757179054,4.657179054,21.7508485
896,bvardcst,-78.11906793,162.8095644,0.04920925,-0.63795709,0.690743281,NA,bvardcst,-241.9999469,490.1665605,0.145390341,-0.698003613,0.80292602,NA,bvardcst,-310.7047919,627.5227914,0.230961193,-0.77546949,0.700910995,NA,bvardcst,-105.4643554,217.0398219,1.14818101,-0.624201874,-1.14E-05,NA,5.835282,0.022262727,0.748759,0.5570068,-0.534744073,46,5.835282,0.092347251,0.748759,0.5570068,-0.464659549,148,5.835282,0.210437952,0.748759,0.5570068,-0.346568848,216,5.835282,1.123729196,0.748759,0.5570068,0.566722396,220,7.437325,5.537325,4.437325,2.2,4.3,2.4,1.3,-0.625157308,-0.458320474,-0.373760347,-0.259689565,7.428319919,5.52831992,4.42831992,4.471823418
897,bvardcst,-51.30942243,109.5419218,0.627397013,-0.356625396,1.975505209,NA,bvardvar,-163.9874068,336.3914802,0.317620684,-0.598768666,1.633360234,0.92893609,bvardcst,-203.6056624,413.3585641,1.21693249,-0.416721972,2.20220414,NA,bvardcst,-63.88102033,133.9398184,1.551892794,-0.371826647,-0.405591335,NA,4.347794,0.389209309,0.36965,1.270286,-0.881076691,30,4.347794,0.606495475,0.36965,1.270286,-0.663790525,101,4.347794,0.845884029,0.36965,1.270286,-0.424401972,167,4.347794,1.790524493,0.36965,1.270286,0.520238493,139,6.528626,5.328626,4.428626,2.4,3.2,2,1.1,-0.170587035,-0.198305722,-0.013024658,-0.94913166,6.322576598,5.122576598,4.222576599,30.42786436
898,bvardvar,-70.83730871,150.5441826,0.152580657,-0.933901597,2.211516335,0.925668084,bvardcst,-163.3283736,332.8550943,0.620220576,-0.674528235,1.763516606,NA,bvardcst,-230.8085659,467.72524,0.848869174,-0.723429836,1.527840729,NA,bvardcst,-14.32813966,34.77450592,2.982566684,-0.811491601,-2.853063609,NA,6.399266,0.330843019,0.6620968,1.516964,-1.186120981,51,6.399266,0.561898618,0.6620968,1.516964,-0.955065382,125,6.399266,0.893180957,0.6620968,1.516964,-0.623783043,226,6.399266,2.370351121,0.6620968,1.516964,0.853387121,207,4.474111,3.674111,2.974111,1.5,2.3,1.5,0.8,-0.41629794,-0.214245992,-0.161404531,-0.909769323,4.46772276,3.667722761,2.967722761,17.22908298
899,bvardcst,-29.90491167,67.00982334,0.444668889,-0.853130061,-2.11446241,NA,bvardcst,-56.85484781,120.1896956,0.952811766,-0.72382258,2.086413819,NA,bvardcst,-55.51274065,117.3683385,1.58619512,-0.74018515,2.781551494,NA,bvardcst,7.510834253,-8.697344181,2.158401314,-0.996498864,-3.07E-05,NA,8.092943,0.34270619,0.8875713,1.850589,-1.50788281,24,8.092943,0.637894813,0.8875713,1.850589,-1.212694187,54,8.092943,0.994220537,0.8875713,1.850589,-0.856368463,74,8.092943,3.048543749,0.8875713,1.850589,1.197954749,78,3.562389,2.862389,2.362389,1.1,1.9,1.2,0.7,-0.347611641,-0.121959074,-0.045714708,-0.696559249,3.410544361,2.710544362,2.210544362,6.207874738
900,bvardcst,-56.5959092,119.8977008,0.010656695,-0.907422472,0.437499975,NA,bvardcst,-105.1005214,216.5592518,0.063701731,-0.926380433,0.58545622,NA,bvardcst,-147.472031,301.168361,0.200284561,-0.935524018,0.719685235,NA,bvardcst,-48.11183732,102.4418565,1.289072459,-0.740853358,0.355257919,NA,7.371737,0.007449637,0.9790102,0.5016534,-0.494203763,38,7.371737,0.047860219,0.9790102,0.5016534,-0.453793181,71,7.371737,0.154949135,0.9790102,0.5016534,-0.346704265,111,7.371737,1.1474407,0.9790102,0.5016534,0.6457873,114,7.045119,5.145119,3.945119,1.9,4.3,2.4,1.2,-0.731271961,-0.574894067,-0.417733194,-0.252769858,6.674071774,4.774071773,3.574071774,10.19272723
901,bvardcst,-207.5819015,421.3186417,0.385175872,-0.756415297,1.989970029,NA,bvardcst,-409.2738632,824.6191549,0.479881745,-0.880638863,1.76728513,NA,bvardcst,-555.462479,1116.966195,0.66830739,-0.940026084,1.303620972,NA,bvardvar,-39.99501382,88.06045017,1.824047803,-1.745656219,8.373756286,1.041793417,8.531393,0.182477522,0.8936442,1.303287,-1.120809478,159,8.531393,0.372986549,0.8936442,1.303287,-0.930300451,340,8.531393,0.69721463,0.8936442,1.303287,-0.60607237,586,8.531393,2.232866875,0.8936442,1.303287,0.929579875,573,4.302474,3.502474,2.802474,1.5,2.2,1.4,0.7,-0.393772871,-0.323306585,-0.239779185,-0.461242457,4.268022429,3.46802243,2.76802243,9.471863636
902,bvardcst,-558.7140406,1123.497849,0.694763243,-0.39880332,1.955295648,NA,bvardcst,-1293.295452,2592.615645,1.043868763,-0.411155979,2.050378261,NA,bvardcst,-1661.439378,3328.894608,1.285951328,-0.426030503,2.046668483,NA,bvardcst,-472.8220335,951.6597328,2.240142625,-0.463641736,-1.561620271,NA,7.021238,0.632202739,0.40294,1.802363,-1.170160261,348,7.021238,0.945912558,0.40294,1.802363,-0.856450442,974,7.021238,1.204613601,0.40294,1.802363,-0.597749399,1518,7.021238,2.462791729,0.40294,1.802363,0.660428729,1536,5.974797,4.974797,4.374797,2.6,2.6,1.6,1,-0.149053689,-0.045861843,-0.013483049,0.17180163,5.86562128,4.865621282,4.265621282,7.756375731
903,bvardcst,-17.92827967,44.85655934,0.002826485,-1.058614977,0.122899199,NA,bvardcst,-35.56366766,78.39049321,0.059672906,-0.886333323,0.484906135,NA,bvardcst,-49.44168886,105.6333777,0.142124438,-0.952347251,0.52717376,NA,bvardcst,-21.99985117,50.53303566,1.440426026,-0.727058694,0.848588273,NA,5.47684,0.016593447,0.8858951,0.5739762,-0.557382753,12,5.47684,0.074815831,0.8858951,0.5739762,-0.499160369,23,5.47684,0.198247076,0.8858951,0.5739762,-0.375729124,36,5.47684,1.214711527,0.8858951,0.5739762,0.640735327,49,6.546233,4.846233,3.746233,1.7,4,2.3,1.2,-0.731028777,-0.537408613,-0.437941307,-0.285165855,6.534661755,4.834661756,3.734661756,3.031935819
904,bvardcst,-23.1574834,54.49678497,0.280484864,-0.659361646,0.852589165,NA,bvardcst,-39.50911166,85.87536618,0.707918574,-0.662059908,1.552928418,NA,bvardcst,-43.83573938,94.20481209,1.169641197,-0.590559775,-1.585170198,NA,bcstdcst,-2.574244826,9.388489653,2.586625536,NA,-1.78E-06,NA,7.725843,0.491638838,0.6822367,1.924108,-1.432469162,15,7.725843,0.792593174,0.6822367,1.924108,-1.131514826,32,7.725843,1.193507928,0.6822367,1.924108,-0.730600073,49,7.725843,2.972607646,0.6822367,1.924108,1.048499646,53,4.037575,3.337575,2.737575,1.4,2,1.3,0.7,-0.253879077,-0.15371741,-0.056975451,-0.213560945,3.943052568,3.243052569,2.643052569,2.02034945
905,bvardcst,-319.720204,645.5485161,0.214392944,-0.801638543,-1.293890908,NA,bvardcst,-678.9761554,1363.997509,0.609369078,-0.728555017,1.83710221,NA,bvardcst,-850.5129017,1707.054477,0.789533564,-0.786198044,1.500999383,NA,bvardcst,-99.99030686,206.0073398,2.267242955,-0.751522833,-1.247771883,NA,8.820579,0.26360812,0.7471138,1.469718,-1.20610988,226,8.820579,0.479217538,0.7471138,1.469718,-0.990500462,535,8.820579,0.808462507,0.7471138,1.469718,-0.661255493,841,8.820579,2.298559619,0.7471138,1.469718,0.828841619,902,4.698587,3.898587,3.198587,1.8,2.3,1.5,0.8,-0.474609915,-0.258308241,-0.190963122,-0.892937005,4.69360159,3.893601591,3.193601591,15.71555923
906,bcstdcst,-11.68104767,30.36209535,0.387969404,NA,-3.05E-07,NA,bvardcst,-24.79887998,57.19775996,0.47668581,-0.690439221,-1.016189242,NA,bvardcst,-24.23716265,55.80765863,0.654745615,-0.701418029,1.00817306,NA,bcstdcst,-5.955297473,16.20327787,2.706211133,NA,0.655174702,NA,7.841605,0.414190584,0.7322095,1.791387,-1.377196416,7,7.841605,0.744039271,0.7322095,1.791387,-1.047347729,19,7.841605,1.072983716,0.7322095,1.791387,-0.718403284,22,7.841605,2.813277666,0.7322095,1.791387,1.021890666,44,4.016436,3.216436,2.716436,1.4,2,1.2,0.7,0.081160257,-0.179568958,-0.139248901,-0.129888489,3.994492372,3.194492372,2.694492372,2.451058648
907,bvardcst,-10.51680754,35.03361509,0.007931226,-1.011739145,0.015975224,NA,bvardcst,-27.05451785,61.7090357,0.049020558,-0.98588813,-4.26E-07,NA,bvardcst,-48.44691406,103.5424768,0.17770496,-0.966416571,-1.10E-06,NA,bcstdcst,-4.951816938,14.38363388,2.368880737,NA,-0.223237046,NA,8.16092,0.037029447,0.948784,0.7711034,-0.734073954,7,8.16092,0.127120143,0.948784,0.7711034,-0.643983257,19,8.16092,0.298580103,0.948784,0.7711034,-0.472523297,41,8.16092,1.626489657,0.948784,0.7711034,0.855386257,28,5.686646,4.386646,3.486646,1.7,3.2,1.9,1,-0.702043481,-0.568396449,-0.444099773,-0.205629224,5.169264059,3.869264059,2.969264059,4.875815531
