tree.number,models80,likelihood.80,aicc.80,lambda.80,alpha.80,mu.80,beta.80,models.50,likelihood.50,aicc.50,lambda.50,alpha.50,mu.50,beta.50,models.20,likelihood.20,aicc.20,lambda.20,alpha.20,mu.20,beta.20,models.s20,likelihood.s20,aicc.s20,lambda.s20,alpha.s20,mu.s20,beta.s20,lambda.init.sim.80,lambda.final.sim.80,alpha.sim.80,mu.sim.80,netdiv.sim.80,ntip.80,lambda.init.sim.50,lambda.final.sim.50,alpha.sim.50,mu.sim.50,netdiv.sim.50,ntip.50,lambda.init.sim.20,lambda.final.sim.20,alpha.sim.20,mu.sim.20,netdiv.sim.20,ntip.20,lambda.init.sim.s20,lambda.final.sim.s20,alpha.sim.s20,mu.sim.s20,netdiv.sim.s20,ntip.s20,time.80,time.50,time.20,time.s20,decline.length.80,decline.length.50,decline.length.20,gamma.80,gamma.50,gamma.20,gamma.s20,cga.80,cga.50,cga.20,cga.s20
21,bvardcst,-64.14658586,134.8646003,0.01540225,-0.212581128,0.527339598,NA,bvardvar,-184.1320199,376.6680802,-0.000685229,-0.616164312,2.741322483,-0.014437853,bvardcst,-279.0138867,564.1856682,0.002665968,-0.795083924,0.010898739,NA,bvardcst,-149.8503751,305.8721789,0.480560205,-0.60468741,1.11E-05,NA,5.222566,8.17E-09,0.7876741,0.0841417,-0.084141692,46,5.222566,4.38E-05,0.7876741,0.0841417,-0.084097946,104,5.222566,0.003603141,0.7876741,0.0841417,-0.080538559,156,5.222566,0.419971567,0.7876741,0.0841417,0.335829867,144,25.74105,14.841053,9.241053,3.2,20.499997,9.6,4,-0.955408896,-0.874396507,-0.735934274,-0.930823576,25.64863806,14.74864106,9.148641059,22.44863807
22,bvardvar,-68.69640208,146.281693,0.053258442,-1.05187309,1.85217195,0.509896803,bvardcst,-184.3934177,374.9620179,0.211993902,-0.961794694,1.10902901,NA,bvardcst,-256.3155329,518.7349619,0.288369513,-1.093431012,0.703600119,NA,bvardvar,-30.69495793,69.56085602,1.732994921,-1.51314551,8.332464154,0.734826886,7.747156,0.056416901,0.9930139,0.9097849,-0.853367999,50,7.747156,0.168188281,0.9930139,0.9097849,-0.741596619,141,7.747156,0.372223764,0.9930139,0.9097849,-0.537561136,235,7.747156,1.746833916,0.9930139,0.9097849,0.837049016,239,4.956942,3.856942,3.056942,1.5,2.8,1.7,0.9,-0.58162497,-0.445936425,-0.37877752,-0.395988252,4.91404731,3.814047312,3.014047312,3.414047312
23,bvardcst,-38.79626123,84.92585579,1.47E-06,-0.136888747,0.074019026,NA,NA,NA,NA,NA,NA,NA,NA,bvardvar,-124.3393558,257.3453783,0.002372297,-0.27119978,0.277140617,0.538935382,bvardcst,-83.88689525,174.1547429,0.262639438,-0.703672223,-2.19E-06,NA,4.307287,7.23E-34,0.7776881,0.0126023,-0.0126023,22,4.307287,1.22E-21,0.7776881,0.0126023,-0.0126023,37,4.307287,4.82E-09,0.7776881,0.0126023,-0.012602295,65,4.307287,0.224269564,0.7776881,0.0126023,0.211667264,67,100.002,63.801959,26.501959,3.8,92.500041,56.3,19,-0.985064173,-0.97636561,-0.920257013,-0.985084463,99.49494123,63.36685249,26.06685249,95.69494123
24,bcstdcst,-3.762968497,-0.474063007,0.063085404,NA,9.46E-09,NA,bvardcst,-19.94456007,49.88912014,0.128589389,-0.451094683,0.472894993,NA,bvardcst,-30.18426142,68.21467669,0.219530112,-0.397872166,0.256090476,NA,bcstdcst,-13.86275832,32.92551664,0.855956582,NA,-1.05E-06,NA,4.606637,0.024041882,0.586099,0.4776616,-0.453619718,2,4.606637,0.087288193,0.586099,0.4776616,-0.390373407,10,4.606637,0.1870066,0.586099,0.4776616,-0.290655,17,4.606637,0.94651429,0.586099,0.4776616,0.46885269,13,8.96684,6.76684,5.46684,2.7,5.1,2.9,1.6,NA,-0.336925957,-0.231674788,-0.296051261,6.879973386,5.69282266,4.547383583,5.347383583
25,bcstdcst,-1.809378096,-4.381243809,1.032345849,NA,2.271672171,NA,bcstdcst,-9.967518438,26.93503688,0.753835552,NA,0.514937714,NA,bcstdcst,-24.22267852,53.1120237,0.809524433,NA,-7.42E-07,NA,bcstdcst,-8.06074099,21.0445589,1.742085532,NA,0.333894676,NA,5.067882,0.328512151,0.4810942,1.325768,-0.997255849,2,5.067882,0.557675608,0.4810942,1.325768,-0.768092392,7,5.067882,0.819465916,0.4810942,1.325768,-0.506302084,21,5.067882,1.936214114,0.4810942,1.325768,0.610446114,16,5.687253,4.587253,3.787253,2,2.9,1.8,1,NA,0.138675853,-0.051029622,0.04200359,0.48294032,2.733950241,2.606412238,2.506412238
26,bvardcst,-27.61055618,62.93539807,0.012732896,-0.900605745,0.36894665,NA,bvardcst,-73.71587153,154.0031716,0.124039527,-0.753826685,0.547267529,NA,bvardcst,-94.65677797,195.6827867,0.169272418,-0.756320484,0.009987727,NA,bcstdcst,-18.6468703,41.50063715,1.992028823,NA,1.34E-07,NA,8.15008,0.02947735,0.816163,0.6552663,-0.62578895,18,8.15008,0.108796913,0.816163,0.6552663,-0.546469387,46,8.15008,0.246077361,0.816163,0.6552663,-0.40918894,69,8.15008,1.35319592,0.816163,0.6552663,0.69792962,61,6.888527,5.288527,4.288527,2.2,3.8,2.2,1.2,-0.728654377,-0.465543088,-0.384648607,-0.410574476,6.290922809,4.690922811,3.690922811,4.090922811
27,bvardvar,-57.04788761,122.8504922,3.12E-06,-0.41399452,0.433045448,-0.027172859,bvardcst,-219.6852319,445.5348474,9.53E-06,-0.699829586,0.084065807,NA,bvardvar,-388.2707667,784.7021761,-0.000181764,-1.040038853,0.01440453,2.255007788,bvardcst,-250.911292,507.9148916,0.350254349,-0.958111944,-8.57E-06,NA,5.960119,2.25E-14,0.9512418,0.05574939,-0.05574939,58,5.960119,1.48E-07,0.9512418,0.05574939,-0.055749242,150,5.960119,0.000435846,0.9512418,0.05574939,-0.055313544,254,5.960119,0.377754497,0.9512418,0.05574939,0.322005107,264,34.91145,18.411453,10.011453,2.9,29.999997,13.5,5.1,-0.977527185,-0.929549649,-0.830780302,-0.965434056,34.77893701,18.27894002,9.878940016,31.87893701
28,bvardcst,-132.3173306,270.8654304,-0.063714329,-0.961773546,1.038033805,NA,bvardcst,-346.8739795,699.8381846,0.100541153,-1.104929872,0.612883056,NA,bvardcst,-496.0131788,998.0811522,0.259809793,-1.052639712,0.538951817,NA,bvardcst,-77.78854721,161.635631,1.914607067,-1.05100956,-1.541427332,NA,8.543084,0.04869131,0.9910345,0.8622117,-0.81352039,108,8.543084,0.15993092,0.9910345,0.8622117,-0.70228078,270,8.543084,0.35338905,0.9910345,0.8622117,-0.50882265,442,8.543084,1.749739407,0.9910345,0.8622117,0.887527707,414,5.214124,4.014124,3.214124,1.6,2.9,1.7,0.9,-0.676592925,-0.529855712,-0.384487697,-0.436798601,5.199342427,3.999342427,3.199342427,3.599342427
29,bvardcst,-272.9431868,552.0442683,0.514028495,-0.386435132,1.467480904,NA,bvardcst,-527.9751548,1062.019875,0.705133097,-0.401729697,1.435735111,NA,bvardcst,-704.6134567,1415.269924,0.850913156,-0.422478685,1.261427079,NA,bvardcst,-208.2960218,422.6393808,2.039457567,-0.439992927,1.488961169,NA,6.779227,0.368376749,0.44304,1.331315,-0.962938252,156,6.779227,0.573722705,0.44304,1.331315,-0.757592295,349,6.779227,0.817767599,0.44304,1.331315,-0.513547401,562,6.779227,1.960797118,0.44304,1.331315,0.629482119,511,6.573926,5.573926,4.773926,2.8,2.9,1.9,1.1,-0.187418767,-0.104713486,-0.079373443,-0.010055574,6.069563976,5.069563976,4.269563976,3.269563976
30,bvardcst,-36.3713875,81.40944167,0.077960308,-0.177469149,0.340436822,NA,bcstdcst,-109.087648,222.4752959,0.202459187,NA,-3.09E-06,NA,bvardcst,-123.438493,253.3475742,0.275749359,-0.108427598,0.22639572,NA,bcstdcst,-71.22075672,146.6915134,0.724877754,NA,0.142694064,NA,2.533612,0.106475877,0.1811603,0.4454495,-0.338973623,13,2.533612,0.18335035,0.1811603,0.4454495,-0.26209915,43,2.533612,0.273130982,0.1811603,0.4454495,-0.172318519,55,2.533612,0.675147403,0.1811603,0.4454495,0.229697903,51,17.49546,14.495463,12.295463,7.3,7.899997,4.9,2.7,-0.359970425,-0.101421618,-0.062062962,-0.033505281,15.45416615,12.45416915,10.25416915,8.15416615
